Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""5/2""","=""""","=""2.0027""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""2.006""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""3/2""","=""""","=""2.011""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""2.028""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""2.084""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""2.089""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2P""","=""3/2""","=""""","=""2.095""","=""?""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","=""""","=""2.096""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2S""","=""1/2""","=""""","=""2.1184""","=""?""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3p2.(1D)""","=""2P*""","=""1/2""","=""""","=""2.1756""","=""""","=""""","=""  49             :    42  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(1D)""","=""2P*""","=""3/2""","=""""","=""2.1791""","=""""","=""""","=""  42             :    35  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4P*""","=""5/2""","=""""","=""2.20241""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""7/2""","=""""","=""2.21828""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""5/2""","=""""","=""2.225054""","=""""","=""0.000018""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.4s.(3S)""","=""4P*""","=""5/2""","=""""","=""2.21987""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4F*""","=""9/2""","=""""","=""2.22979""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4P*""","=""5/2""","=""""","=""2.2301""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.4s.(3S)""","=""2P*""","=""1/2""","=""""","=""2.2387""","=""""","=""""","=""  78             :    12  2p5.(2P*).3s.4s.(3S) 4P*  ""","="""""
"=""2p5.(2P*).3s.4s.(3S)""","=""2P*""","=""3/2""","=""""","=""2.2398""","=""""","=""""","=""  63             :    26  2p5.(2P*).3s.4s.(1S) 2P*  ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""*""","=""3/2""","=""""","=""2.2452""","=""""","=""""","=""  48  2D*        :    47  2p5.(2P*).3s.3d.(3D) 2P*  ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""2P*""","=""1/2""","=""""","=""2.2499""","=""""","=""""","=""  87             :    10  2p5.(2P*).3s.3d.(3D) 4D*  ""","="""""
"=""2p5.(2P*).3s.4s.(1S)""","=""2P*""","=""3/2""","=""""","=""2.2526""","=""""","=""""","=""  68             :    26  2p5.(2P*).3s.4s.(3S) 2P*  ""","="""""
"=""2p5.(2P*).3s.4s.(1S)""","=""2P*""","=""1/2""","=""""","=""2.2556""","=""""","=""""","=""  91             :     8  2p5.(2P*).3s.4s.(3S) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""2P*""","=""1/2""","=""""","=""2.2861""","=""""","=""""","=""  76             :    19  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""2P*""","=""3/2""","=""""","=""2.3045""","=""""","=""""","=""  75             :    19  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3530""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5s?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3559""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3570""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3597""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5s?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3627""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3663""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3682""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5s?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3774""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3785""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.3818""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4061""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4078""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4106""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4119""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4166""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4316""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4341""","=""""","=""""","=""                                                    ""","="""""
