Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""1s.2p2""","=""2D""","=""3/2""","=""""","=""4.4988""","=""a""","=""0.0005""","=""  96         :     2  1s.2s.(3S).3d       2D   ""","=""L12158"""
"=""1s.2p2""","=""2P""","=""3/2""","=""""","=""4.5249""","=""""","=""0.0005""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""2P""","=""1/2""","=""""","=""4.5249""","=""""","=""0.0005""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""2S""","=""1/2""","=""""","=""4.6233""","=""a""","=""0.0018""","=""  85         :    11  1s.2s2              2S   ""","=""L12158"""
"=""1s.2s.3s""","=""4S""","=""3/2""","=""""","=""4.705116""","=""+x""","=""0.00003""","=""  92         :     7  1s.2p.3p            4S   ""","=""L12158"""
"=""1s.2s.(3S).3s""","=""2S""","=""1/2""","=""""","=""4.734""","=""a""","=""0.007""","=""  86         :    12  1s.2p.(3P*).3p      2S   ""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""3/2""","=""""","=""4.75531""","=""+x""","=""0.00014""","=""  98         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""5/2""","=""""","=""4.75531""","=""+x""","=""0.00014""","=""  98         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""1/2""","=""""","=""4.75531""","=""+x""","=""0.00014""","=""  98         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.(3S).3p""","=""2P*""","=""1/2""","=""""","=""4.7595""","=""a""","=""0.0009""","=""  86         :    10  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.(3S).3p""","=""2P*""","=""3/2""","=""""","=""4.7595""","=""a""","=""0.0009""","=""  86         :    10  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""7/2""","=""""","=""4.783734""","=""+x""","=""0.000005""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""5/2""","=""""","=""4.783734""","=""+x""","=""0.000005""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""3/2""","=""""","=""4.783734""","=""+x""","=""0.000005""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""1/2""","=""""","=""4.783734""","=""+x""","=""0.000005""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.(3S).3d""","=""2D""","=""5/2""","=""""","=""4.8006""","=""a""","=""0.0023""","=""  94         :     2  1s.2p2              2D   ""","=""L12158"""
"=""1s.2s.(3S).3d""","=""2D""","=""3/2""","=""""","=""4.8006""","=""a""","=""0.0023""","=""  94         :     2  1s.2p2              2D   ""","=""L12158"""
"=""1s.2s.(1S).3s""","=""2S""","=""1/2""","=""""","=""4.822""","=""a""","=""0.007""","=""  86         :    13  1s.2p.(1P*).3p      2S   ""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""1/2""","=""""","=""4.848361""","=""+x""","=""0.00003""","=""  96         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""5/2""","=""""","=""4.848361""","=""+x""","=""0.00003""","=""  96         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""3/2""","=""""","=""4.848361""","=""+x""","=""0.00003""","=""  96         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.(1S).3p""","=""2P*""","=""3/2""","=""""","=""4.8507""","=""a""","=""0.0014""","=""  53         :    24  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.(1S).3p""","=""2P*""","=""1/2""","=""""","=""4.8507""","=""a""","=""0.0014""","=""  53         :    24  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.4s""","=""4S""","=""3/2""","=""""","=""4.86244""","=""+x""","=""0.00014""","=""  91         :     5  1s.2p.3p            4S   ""","=""L12158"""
"=""1s.2s.(3S).4p""","=""2P*""","=""1/2""","=""""","=""4.8766""","=""a""","=""0.0014""","=""  58         :    30  1s.2s.(1S).3p       2P*  ""","=""L12158"""
"=""1s.2s.(3S).4p""","=""2P*""","=""3/2""","=""""","=""4.8766""","=""a""","=""0.0014""","=""  58         :    30  1s.2s.(1S).3p       2P*  ""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""7/2""","=""""","=""4.87681""","=""+x""","=""0.00009""","=""  91         :     5  1s.2s.3d            4D   ""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""1/2""","=""""","=""4.87681""","=""+x""","=""0.00009""","=""  91         :     5  1s.2s.3d            4D   ""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""3/2""","=""""","=""4.87681""","=""+x""","=""0.00009""","=""  91         :     5  1s.2s.3d            4D   ""","=""L12158"""
"=""1s.2p.3p""","=""4D""","=""5/2""","=""""","=""4.87681""","=""+x""","=""0.00009""","=""  91         :     5  1s.2s.3d            4D   ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2P""","=""1/2""","=""""","=""4.8794""","=""""","=""0.0023""","=""  95         :     4  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2P""","=""3/2""","=""""","=""4.8794""","=""""","=""0.0023""","=""  95         :     4  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2s.4p""","=""4P*""","=""5/2""","=""""","=""4.88284""","=""+x""","=""0.00003""","=""  96         :     2  1s.2p.3s            4P*  ""","=""L12158"""
"=""1s.2s.4p""","=""4P*""","=""3/2""","=""""","=""4.88284""","=""+x""","=""0.00003""","=""  96         :     2  1s.2p.3s            4P*  ""","=""L12158"""
"=""1s.2s.4p""","=""4P*""","=""1/2""","=""""","=""4.88284""","=""+x""","=""0.00003""","=""  96         :     2  1s.2p.3s            4P*  ""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""7/2""","=""""","=""4.888943""","=""+x""","=""0.000004""","=""  66         :    33  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""9/2""","=""""","=""4.888943""","=""+x""","=""0.000004""","=""  66         :    33  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""5/2""","=""""","=""4.888943""","=""+x""","=""0.000004""","=""  66         :    33  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.4f""","=""4F*""","=""3/2""","=""""","=""4.888943""","=""+x""","=""0.000004""","=""  66         :    33  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""""","=""4.891""","=""a""","=""0.003""","=""  46         :    21  1s.2p.(1P*).3s      2P*  ""","=""L12158"""
"=""1s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""""","=""4.891""","=""a""","=""0.003""","=""  46         :    21  1s.2p.(1P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.(1S).3d""","=""2D""","=""3/2""","=""""","=""4.8912""","=""a""","=""0.0023""","=""  58         :    18  1s.2s.(3S).4d       2D   ""","=""L12158"""
"=""1s.2s.(1S).3d""","=""2D""","=""5/2""","=""""","=""4.8912""","=""a""","=""0.0023""","=""  58         :    18  1s.2s.(3S).4d       2D   ""","=""L12158"""
"=""1s.2p.3p""","=""4S""","=""3/2""","=""""","=""4.89435""","=""+x?""","=""0.00009""","=""  85         :     7  1s.2s.4s            4S   ""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""1/2""","=""""","=""4.89588""","=""+x""","=""0.00014""","=""  97         :     3  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""3/2""","=""""","=""4.89588""","=""+x""","=""0.00014""","=""  97         :     3  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""5/2""","=""""","=""4.89588""","=""+x""","=""0.00014""","=""  97         :     3  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.4d""","=""4D""","=""7/2""","=""""","=""4.89588""","=""+x""","=""0.00014""","=""  97         :     3  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2p.3p""","=""4P""","=""1/2""","=""""","=""4.896272""","=""+x""","=""0.00009""","=""  99                                           ""","=""L12158"""
"=""1s.2p.3p""","=""4P""","=""3/2""","=""""","=""4.896272""","=""+x""","=""0.00009""","=""  99                                           ""","=""L12158"""
"=""1s.2p.3p""","=""4P""","=""5/2""","=""""","=""4.896272""","=""+x""","=""0.00009""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2D""","=""3/2""","=""""","=""4.9031""","=""a""","=""0.0018""","=""  48         :    48  1s.2s.(3S).4d       2D   ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2D""","=""5/2""","=""""","=""4.9031""","=""a""","=""0.0018""","=""  48         :    48  1s.2s.(3S).4d       2D   ""","=""L12158"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""4.9086""","=""""","=""0.0005""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""""","=""4.9086""","=""""","=""0.0005""","=""  99                                           ""","=""L12158"""
"=""1s.2s.(3S).4d""","=""2D""","=""3/2""","=""""","=""4.910""","=""a""","=""0.004""","=""  32         :    32  1s.2p.(3P*).3p      2D   ""","=""L12158"""
"=""1s.2s.(3S).4d""","=""2D""","=""5/2""","=""""","=""4.910""","=""a""","=""0.004""","=""  32         :    32  1s.2p.(3P*).3p      2D   ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""3/2""","=""""","=""4.913488""","=""+x""","=""0.000005""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""5/2""","=""""","=""4.913488""","=""+x""","=""0.000005""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""7/2""","=""""","=""4.913488""","=""+x""","=""0.000005""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""9/2""","=""""","=""4.913488""","=""+x""","=""0.000005""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""1/2""","=""""","=""4.9184956""","=""+x""","=""0.0000023""","="" 100                                           ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""3/2""","=""""","=""4.9184956""","=""+x""","=""0.0000023""","="" 100                                           ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""5/2""","=""""","=""4.9184956""","=""+x""","=""0.0000023""","="" 100                                           ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""7/2""","=""""","=""4.9184956""","=""+x""","=""0.0000023""","="" 100                                           ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2S""","=""1/2""","=""""","=""4.9245""","=""a""","=""0.0023""","=""  47         :    35  1s.2s.(3S).5s       2S   ""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""1/2""","=""""","=""4.92859""","=""+x""","=""0.00003""","=""  80         :    13  1s.2s.5p            4P*  ""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""3/2""","=""""","=""4.92859""","=""+x""","=""0.00003""","=""  80         :    13  1s.2s.5p            4P*  ""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""5/2""","=""""","=""4.92859""","=""+x""","=""0.00003""","=""  80         :    13  1s.2s.5p            4P*  ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""7/2""","=""""","=""4.94395""","=""+x""","=""0.00018""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""3/2""","=""""","=""4.94395""","=""+x""","=""0.00018""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""5/2""","=""""","=""4.94395""","=""+x""","=""0.00018""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""1/2""","=""""","=""4.94395""","=""+x""","=""0.00018""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""9/2""","=""""","=""4.94848""","=""+x""","=""0.00005""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""7/2""","=""""","=""4.94848""","=""+x""","=""0.00005""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""5/2""","=""""","=""4.94848""","=""+x""","=""0.00005""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""3/2""","=""""","=""4.94848""","=""+x""","=""0.00005""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2D""","=""5/2""","=""""","=""4.9527""","=""a""","=""0.0014""","=""  84         :     8  1s.2s.(1S).3d       2D   ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2D""","=""3/2""","=""""","=""4.9527""","=""a""","=""0.0014""","=""  84         :     8  1s.2s.(1S).3d       2D   ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2P""","=""3/2""","=""""","=""4.9614""","=""?""","=""0.0014""","=""  89         :     5  1s.2p.(3P*).4p      2P   ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2P""","=""1/2""","=""""","=""4.9614""","=""?""","=""0.0014""","=""  89         :     5  1s.2p.(3P*).4p      2P   ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""5/2""","=""""","=""4.9776""","=""""","=""0.0005""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""3/2""","=""""","=""4.9776""","=""""","=""0.0005""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2F*""","=""7/2""","=""""","=""4.9783""","=""a?""","=""0.0023""","=""  54         :    36  1s.2s.(3S).6f       2F*  ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2F*""","=""5/2""","=""""","=""4.9783""","=""a?""","=""0.0023""","=""  54         :    36  1s.2s.(3S).6f       2F*  ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""5/2""","=""""","=""4.99507""","=""+x""","=""0.00014""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""3/2""","=""""","=""4.99507""","=""+x""","=""0.00014""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""1/2""","=""""","=""4.99507""","=""+x""","=""0.00014""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""1/2""","=""""","=""5.00569""","=""+x?""","=""0.00005""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""3/2""","=""""","=""5.00569""","=""+x?""","=""0.00005""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""5/2""","=""""","=""5.00569""","=""+x?""","=""0.00005""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""7/2""","=""""","=""5.00569""","=""+x?""","=""0.00005""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""3/2""","=""""","=""5.0070""","=""""","=""0.0018""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""1/2""","=""""","=""5.0070""","=""""","=""0.0018""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2p.4p""","=""4S""","=""3/2""","=""""","=""5.01188""","=""+x?""","=""0.00005""","=""  58         :    23  1s.2s.10s           4S   ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""5/2""","=""""","=""5.01251""","=""+x?""","=""0.00009""","=""  98                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""1/2""","=""""","=""5.01251""","=""+x?""","=""0.00009""","=""  98                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""3/2""","=""""","=""5.01251""","=""+x?""","=""0.00009""","=""  98                                           ""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""5/2""","=""""","=""5.0180""","=""""","=""0.0005""","=""  99                                           ""","=""L12158"""
