Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Lande,Leading percentages,Reference
"=""3d10.11d""","=""2D""","=""5/2""","=""""","=""0.2789215""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.13p""","=""2P*""","=""3/2""","=""""","=""0.2797897""","=""""","=""0.0000003""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.13p""","=""2P*""","=""1/2""","=""""","=""0.2797931""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.14p""","=""2P*""","=""3/2""","=""""","=""0.2804536""","=""""","=""0.0000006""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.14p""","=""2P*""","=""1/2""","=""""","=""0.2804547""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.15p""","=""2P*""","=""3/2""","=""""","=""0.2809703""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.15p""","=""2P*""","=""1/2""","=""""","=""0.2809705""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.16p""","=""2P*""","=""3/2""","=""""","=""0.2813797""","=""""","=""0.0000009""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.16p""","=""2P*""","=""1/2""","=""""","=""0.2813799""","=""""","=""0.0000010""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.17p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2817102""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.18p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2819804""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.19p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2822043""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559"""
"=""3d10.20s""","=""2S""","=""1/2""","=""""","=""0.2822909""","=""""","=""0.0000014""","=""""","=""                                                    ""","=""L10559c152"""
"=""3d10.20p""","=""2P*""","=""1/2,3/2""","=""""","=""0.2823920""","=""""","=""0.0000004""","=""""","=""                                                    ""","=""L10559c152"""
