Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""1s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""""","=""8.334873""","=""""","=""0.00009""","=""  80         :    11  1s.2s.(3S).4f        2F*  ""","=""L12547"""
"=""1s.2p.(3P*).3d""","=""4D*""","=""1/2,3/2,5/2,7/2""","=""""","=""8.336843""","=""""","=""0.000023""","="" 100                                            ""","=""L12547"""
"=""1s.2p.(3P*).3d""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.348419""","=""""","=""0.000023""","=""  87         :     8  1s.2s.(3S).4p        4P*  ""","=""L12547"""
"=""1s.2s.(3S).4s""","=""4S""","=""3/2""","=""""","=""8.355831""","=""""","=""0.000023""","=""  92         :     6  1s.2p.(3P*).3p       4S   ""","=""L12547"""
"=""1s.2s.(3S).4p""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.38347""","=""""","=""0.00003""","=""  90         :     8  1s.2p.(3P*).3d       4P*  ""","=""L12547"""
"=""1s.2p.(1P*).3p""","=""2D""","=""3/2,5/2""","=""""","=""8.3886""","=""""","=""0.0008""","=""  88         :     8  1s.2s.(1S).3d        2D   ""","=""L12547"""
"=""1s.2p.(1P*).3p""","=""2P""","=""1/2,3/2""","=""""","=""8.3891""","=""""","=""0.0018""","=""  93         :     5  1s.2p.(3P*).3p       2P   ""","=""L12547"""
"=""1s.2s.(3S).4d""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.396472""","=""""","=""0.000023""","=""  99                                            ""","=""L12547"""
"=""1s.2s.(3S).4f""","=""2F*""","=""5/2,7/2""","=""""","=""8.4068""","=""""","=""0.0004""","=""  52         :    45  1s.2p.(1P*).3d       2F*  ""","=""L12547"""
"=""1s.2s.(3S).4f""","=""4F*""","=""3/2,5/2,7/2,9/2""","=""""","=""8.411350""","=""""","=""0.000023""","=""  95         :     5  1s.2p.(3P*).3d       4F*  ""","=""L12547"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""3/2,5/2""","=""""","=""8.4257""","=""""","=""0.0004""","=""  99                                            ""","=""L12547"""
"=""1s.2s.(3S).5s""","=""4S""","=""3/2""","=""""","=""8.48187""","=""""","=""0.00009""","=""  96         :     2  1s.2p.(3P*).4p       4S   ""","=""L12547"""
"=""1s.2s.(3S).5p""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.495556""","=""""","=""0.000023""","=""  98                                            ""","=""L12547"""
"=""1s.2s.(3S).5d""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.50427""","=""""","=""0.00006""","=""  99                                            ""","=""L12547"""
"=""1s.2s.(3S).5f""","=""4F*""","=""3/2,5/2,7/2,9/2""","=""""","=""8.510344""","=""""","=""0.000023""","=""  98                                            ""","=""L12547"""
"=""1s.2p.(3P*).4s""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.522791""","=""""","=""0.000023""","=""  97                                            ""","=""L12547"""
"=""1s.2p.(3P*).4p""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.539638""","=""""","=""0.000023""","=""  96                                            ""","=""L12547"""
"=""1s.2p.(3P*).4p""","=""4S""","=""3/2""","=""""","=""8.542503""","=""""","=""0.000023""","=""  56         :    39  1s.2s.(3S).6s        4S   ""","=""L12547"""
"=""1s.2p.(3P*).4p""","=""4P""","=""1/2,3/2,5/2""","=""""","=""8.549897""","=""""","=""0.00003""","=""  99                                            ""","=""L12547"""
"=""1s.2p.(3P*).4p""","=""2D""","=""3/2,5/2""","=""""","=""8.552""","=""""","=""0.005""","=""  91         :     3  1s.2s.(1S).4d        2D   ""","=""L12547"""
"=""1s.2p.(3P*).4p""","=""2P""","=""1/2,3/2""","=""""","=""8.552""","=""""","=""0.004""","=""  97                                            ""","=""L12547"""
"=""1s.2p.(3P*).4d""","=""4F*""","=""3/2,5/2,7/2,9/2""","=""""","=""8.553954""","=""""","=""0.000023""","=""  85         :    13  1s.2s.(3S).6f        4F*  ""","=""L12547"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""3/2,5/2""","=""""","=""8.558634""","=""""","=""0.00018""","=""  99                                            ""","=""L12547"""
